Order,Fastq filename,Our sample name,sample,Cross,Treatment,Zoox,Tank,Treatment,58daysHeatSurv
108,70_S280_L008_R1_001.fastq.gz,70,70,SBxSB,SEDT3H,SED,T3,Hot,96.875
289,162_S291_L006_R1_001.fastq.gz,162,162,CUxDR,SEDT1H,SED,T1,Hot,100
290,162_S291_L007_R1_001.fastq.gz,162,162,CUxDR,SEDT1H,SED,T1,Hot,100
291,162_S291_L008_R1_001.fastq.gz,162,162,CUxDR,SEDT1H,SED,T1,Hot,100
160,99_S81_L003_R1_001.fastq.gz,99,99,SBxSB,SST3A,SS,T3,Ambient,90.909
161,99_S81_L004_R1_001.fastq.gz,99,99,SBxSB,SST3A,SS,T3,Ambient,90.909
162,99_S81_L005_R1_001.fastq.gz,99,99,SBxSB,SST3A,SS,T3,Ambient,90.909
163,100_S82_L003_R1_001.fastq.gz,100,100,BKxBK,SST3A,SS,T3,Ambient,90.47619
164,100_S82_L004_R1_001.fastq.gz,100,100,BKxBK,SST3A,SS,T3,Ambient,90.47619
165,100_S82_L005_R1_001.fastq.gz,100,100,BKxBK,SST3A,SS,T3,Ambient,90.47619
166,101_S83_L003_R1_001.fastq.gz,101,101,LSxLS,SST3A,SS,T3,Ambient,93.75
167,101_S83_L004_R1_001.fastq.gz,101,101,LSxLS,SST3A,SS,T3,Ambient,93.75
168,101_S83_L005_R1_001.fastq.gz,101,101,LSxLS,SST3A,SS,T3,Ambient,93.75
169,102_S84_L003_R1_001.fastq.gz,102,102,DRxDR,SST3A,SS,T3,Ambient,100
170,102_S84_L004_R1_001.fastq.gz,102,102,DRxDR,SST3A,SS,T3,Ambient,100
171,102_S84_L005_R1_001.fastq.gz,102,102,DRxDR,SST3A,SS,T3,Ambient,100
172,103_S85_L003_R1_001.fastq.gz,103,103,BKxBK,D1T2A,D1,T2,Ambient,100
173,103_S85_L004_R1_001.fastq.gz,103,103,BKxBK,D1T2A,D1,T2,Ambient,100
174,103_S85_L005_R1_001.fastq.gz,103,103,BKxBK,D1T2A,D1,T2,Ambient,100
292,163_S292_L006_R1_001.fastq.gz,163,163,DRxSB,SEDT1H,SED,T1,Hot,83.333
293,163_S292_L007_R1_001.fastq.gz,163,163,DRxSB,SEDT1H,SED,T1,Hot,83.333
294,163_S292_L008_R1_001.fastq.gz,163,163,DRxSB,SEDT1H,SED,T1,Hot,83.333
178,105_S87_L003_R1_001.fastq.gz,105,105,SBxSB,D1T2A,D1,T2,Ambient,87.5
179,105_S87_L004_R1_001.fastq.gz,105,105,SBxSB,D1T2A,D1,T2,Ambient,87.5
180,105_S87_L005_R1_001.fastq.gz,105,105,SBxSB,D1T2A,D1,T2,Ambient,87.5
181,106_S88_L003_R1_001.fastq.gz,106,106,DRxDR,D1T2A,D1,T2,Ambient,70.97
182,106_S88_L004_R1_001.fastq.gz,106,106,DRxDR,D1T2A,D1,T2,Ambient,70.97
183,106_S88_L005_R1_001.fastq.gz,106,106,DRxDR,D1T2A,D1,T2,Ambient,70.97
184,107_S89_L003_R1_001.fastq.gz,107,107,SBxSB,SEDT2A,SED,T2,Ambient,100
185,107_S89_L004_R1_001.fastq.gz,107,107,SBxSB,SEDT2A,SED,T2,Ambient,100
186,107_S89_L005_R1_001.fastq.gz,107,107,SBxSB,SEDT2A,SED,T2,Ambient,100
187,108_S90_L003_R1_001.fastq.gz,108,108,BKxBK,SEDT2A,SED,T2,Ambient,14.28571
188,108_S90_L004_R1_001.fastq.gz,108,108,BKxBK,SEDT2A,SED,T2,Ambient,14.28571
